Time,Patch,mWW,mWH,mWR,mWB,mHH,mHR,mHB,mRR,mRB,mBB,fWW,fWH,fWR,fWB,fHH,fHR,fHB,fRR,fRB,fBB
35,2,3859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,3704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,3558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,3302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,3188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,2848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2,2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,2271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,2155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,1824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,1663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,1301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2,2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2,3053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2,3493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2,3810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2,4179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2,4673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2,4950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,5074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2,5288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2,5464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2,5553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2,5599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2,5540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2,5666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,5744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2,5759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2,5824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2,5787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2,5747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,5710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2,5624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2,5636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2,5678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2,5646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2,5558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1,1147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,5597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
