"Time","mWW","mWH","mWR","mWB","mHH","mHR","mHB","mRR","mRB","mBB","fWW","fWH","fWR","fWB","fHH","fHR","fHB","fRR","fRB","fBB"
30,4725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,4719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,7296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,7636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,7930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,8296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,8537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,8824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,8948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,9070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,9163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,9285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,9239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,9150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,9091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,9074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,8669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,8680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,8498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,8385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,8255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,8098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,7951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
