"Time","mWW","mWH","mWR","mWB","mHH","mHR","mHB","mRR","mRB","mBB","fWW","fWH","fWR","fWB","fHH","fHR","fHB","fRR","fRB","fBB"
1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
