"Time","mWW","mWH","mWR","mWB","mHH","mHR","mHB","mRR","mRB","mBB","fWW","fWH","fWR","fWB","fHH","fHR","fHB","fRR","fRB","fBB"
1,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,9234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,7117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
